rank,prof_count,total_np,np_dd_ratio,range_minutes,fixed_sl_pts,rr_ratio,half_tp_ratio,pending_expire_minutes,fractal_confirm,fractal_width
1,4,39578.0,2901.833376773852,90,400,2.5,0.4,240,True,5
2,4,36924.80000000048,2621.100360056149,90,400,2.0,0.4,360,True,5
3,4,35191.20000000046,3956.6440785049112,90,550,3.5,0.2,120,True,5
4,3,58113.2000000004,3729.0704234754644,90,400,3.5,0.4,360,True,5
5,3,48450.40000000053,3426.8563136121666,90,400,4.0,0.2,360,True,5
6,3,49409.80000000038,3422.627071423506,90,550,4.0,0.2,360,True,5
7,3,44384.0,2998.3665300256116,90,400,2.5,0.4,360,True,5
8,3,46070.200000000295,3368.9820746402,90,550,3.5,0.4,120,True,5
