mechanism,tiers,spacing,stream,n,np,wr,fold,ext_pts,tp_mult
stop-ext,,,S6,44,163.0,86.4,W1_IS,50.0,1.5
stop-ext,,,S1,41,74.0,85.4,W1_IS,50.0,2.0
stop-ext,,,S2,34,350.0,88.2,W1_IS,50.0,2.0
stop-ext,,,S3,38,15.0,84.2,W1_IS,50.0,2.0
stop-ext,,,S4,34,-45.0,82.4,W1_IS,50.0,2.0
stop-ext,,,S5,36,-30.0,83.3,W1_IS,50.0,2.0
stop-ext,,,S6,44,398.0,86.4,W1_IS,50.0,2.0
stop-ext,,,S1,41,11.0,78.0,W1_IS,50.0,3.0
stop-ext,,,S2,34,416.0,82.4,W1_IS,50.0,3.0
stop-ext,,,S3,38,-69.0,76.3,W1_IS,50.0,3.0
stop-ext,,,S4,34,51.0,79.4,W1_IS,50.0,3.0
stop-ext,,,S5,36,-128.0,75.0,W1_IS,50.0,3.0
stop-ext,,,S6,44,330.0,77.3,W1_IS,50.0,3.0
stop-ext,,,S1,39,-29.0,76.9,W1_IS,100.0,1.5
stop-ext,,,S2,34,405.0,82.4,W1_IS,100.0,1.5
stop-ext,,,S3,36,-11.0,77.8,W1_IS,100.0,1.5
stop-ext,,,S4,32,109.0,81.2,W1_IS,100.0,1.5
stop-ext,,,S5,34,59.0,79.4,W1_IS,100.0,1.5
stop-ext,,,S6,44,550.0,81.8,W1_IS,100.0,1.5
stop-ext,,,S1,39,-86.0,71.8,W1_IS,100.0,2.0
stop-ext,,,S2,34,236.0,70.6,W1_IS,100.0,2.0
stop-ext,,,S3,36,-80.0,72.2,W1_IS,100.0,2.0
stop-ext,,,S4,32,25.0,75.0,W1_IS,100.0,2.0
stop-ext,,,S5,34,-12.0,73.5,W1_IS,100.0,2.0
stop-ext,,,S6,44,488.0,72.7,W1_IS,100.0,2.0
stop-ext,,,S1,39,-224.0,61.5,W1_IS,100.0,3.0
stop-ext,,,S2,34,437.0,64.7,W1_IS,100.0,3.0
stop-ext,,,S3,36,87.0,66.7,W1_IS,100.0,3.0
stop-ext,,,S4,32,162.0,68.8,W1_IS,100.0,3.0
stop-ext,,,S5,34,-183.0,61.8,W1_IS,100.0,3.0
stop-ext,,,S6,44,294.0,59.1,W1_IS,100.0,3.0
stop-ext,,,S1,36,-87.0,66.7,W1_IS,200.0,1.5
stop-ext,,,S2,34,59.0,58.8,W1_IS,200.0,1.5
stop-ext,,,S3,33,224.0,72.7,W1_IS,200.0,1.5
stop-ext,,,S4,29,-101.0,65.5,W1_IS,200.0,1.5
stop-ext,,,S5,31,-6.0,67.7,W1_IS,200.0,1.5
stop-ext,,,S6,42,56.0,57.1,W1_IS,200.0,1.5
stop-ext,,,S1,36,-4.0,61.1,W1_IS,200.0,2.0
stop-ext,,,S2,34,-120.0,50.0,W1_IS,200.0,2.0
stop-ext,,,S3,33,316.0,66.7,W1_IS,200.0,2.0
stop-ext,,,S4,29,-86.0,58.6,W1_IS,200.0,2.0
stop-ext,,,S5,31,24.0,61.3,W1_IS,200.0,2.0
stop-ext,,,S6,42,-576.0,45.2,W1_IS,200.0,2.0
stop-ext,,,S1,36,384.0,55.6,W1_IS,200.0,3.0
stop-ext,,,S2,34,-520.0,35.3,W1_IS,200.0,3.0
stop-ext,,,S3,33,688.0,60.6,W1_IS,200.0,3.0
stop-ext,,,S4,29,132.0,51.7,W1_IS,200.0,3.0
stop-ext,,,S5,31,272.0,54.8,W1_IS,200.0,3.0
stop-ext,,,S6,42,-644.0,35.7,W1_IS,200.0,3.0
multi-tier,1.0,0.15,S1,30,1848.0,46.7,W1_OOS,,
multi-tier,1.0,0.15,S2,32,1282.0,37.5,W1_OOS,,
multi-tier,1.0,0.15,S3,30,1848.0,46.7,W1_OOS,,
multi-tier,1.0,0.15,S4,22,707.0,31.8,W1_OOS,,
multi-tier,1.0,0.15,S5,26,1936.0,53.8,W1_OOS,,
multi-tier,1.0,0.15,S6,42,1880.0,38.1,W1_OOS,,
multi-tier,1.0,0.3,S1,30,1848.0,46.7,W1_OOS,,
multi-tier,1.0,0.3,S2,32,1282.0,37.5,W1_OOS,,
multi-tier,1.0,0.3,S3,30,1848.0,46.7,W1_OOS,,
multi-tier,1.0,0.3,S4,22,707.0,31.8,W1_OOS,,
multi-tier,1.0,0.3,S5,26,1936.0,53.8,W1_OOS,,
multi-tier,1.0,0.3,S6,42,1880.0,38.1,W1_OOS,,
multi-tier,1.0,0.5,S1,30,1848.0,46.7,W1_OOS,,
multi-tier,1.0,0.5,S2,32,1282.0,37.5,W1_OOS,,
multi-tier,1.0,0.5,S3,30,1848.0,46.7,W1_OOS,,
multi-tier,1.0,0.5,S4,22,707.0,31.8,W1_OOS,,
multi-tier,1.0,0.5,S5,26,1936.0,53.8,W1_OOS,,
multi-tier,1.0,0.5,S6,42,1880.0,38.1,W1_OOS,,
multi-tier,2.0,0.15,S1,60,1408.0,40.0,W1_OOS,,
multi-tier,2.0,0.15,S2,64,804.0,31.2,W1_OOS,,
multi-tier,2.0,0.15,S3,60,1408.0,40.0,W1_OOS,,
multi-tier,2.0,0.15,S4,44,641.0,29.5,W1_OOS,,
multi-tier,2.0,0.15,S5,52,1496.0,46.2,W1_OOS,,
multi-tier,2.0,0.15,S6,84,1380.0,33.3,W1_OOS,,
multi-tier,2.0,0.3,S1,60,1202.0,36.7,W1_OOS,,
multi-tier,2.0,0.3,S2,68,174.0,25.0,W1_OOS,,
multi-tier,2.0,0.3,S3,60,1202.0,36.7,W1_OOS,,
multi-tier,2.0,0.3,S4,44,414.0,25.0,W1_OOS,,
multi-tier,2.0,0.3,S5,52,1304.0,42.3,W1_OOS,,
multi-tier,2.0,0.3,S6,88,742.0,28.4,W1_OOS,,
multi-tier,2.0,0.5,S1,64,840.0,32.8,W1_OOS,,
multi-tier,2.0,0.5,S2,68,174.0,25.0,W1_OOS,,
multi-tier,2.0,0.5,S3,64,840.0,32.8,W1_OOS,,
multi-tier,2.0,0.5,S4,48,-25.0,20.8,W1_OOS,,
multi-tier,2.0,0.5,S5,56,965.0,37.5,W1_OOS,,
multi-tier,2.0,0.5,S6,88,374.0,26.1,W1_OOS,,
multi-tier,3.0,0.15,S1,90,1124.0,35.6,W1_OOS,,
multi-tier,3.0,0.15,S2,100,225.0,25.0,W1_OOS,,
multi-tier,3.0,0.15,S3,90,1124.0,35.6,W1_OOS,,
multi-tier,3.0,0.15,S4,66,467.0,25.8,W1_OOS,,
multi-tier,3.0,0.15,S5,78,1221.0,41.0,W1_OOS,,
multi-tier,3.0,0.15,S6,130,788.0,28.5,W1_OOS,,
multi-tier,3.0,0.3,S1,94,475.0,27.7,W1_OOS,,
multi-tier,3.0,0.3,S2,104,-199.0,21.2,W1_OOS,,
multi-tier,3.0,0.3,S3,94,475.0,27.7,W1_OOS,,
multi-tier,3.0,0.3,S4,70,65.0,21.4,W1_OOS,,
multi-tier,3.0,0.3,S5,82,612.0,31.7,W1_OOS,,
multi-tier,3.0,0.3,S6,134,113.0,23.9,W1_OOS,,
multi-tier,3.0,0.5,S1,102,398.0,27.5,W1_OOS,,
multi-tier,3.0,0.5,S2,108,87.0,25.0,W1_OOS,,
multi-tier,3.0,0.5,S3,102,398.0,27.5,W1_OOS,,
multi-tier,3.0,0.5,S4,78,-38.0,21.8,W1_OOS,,
multi-tier,3.0,0.5,S5,90,554.0,31.1,W1_OOS,,
multi-tier,3.0,0.5,S6,138,60.0,23.9,W1_OOS,,
stop-ext,,,S1,19,0.0,0.0,W1_OOS,0.0,1.5
stop-ext,,,S2,20,0.0,0.0,W1_OOS,0.0,1.5
stop-ext,,,S3,19,0.0,0.0,W1_OOS,0.0,1.5
stop-ext,,,S4,15,0.0,0.0,W1_OOS,0.0,1.5
stop-ext,,,S5,17,0.0,0.0,W1_OOS,0.0,1.5
stop-ext,,,S6,25,0.0,0.0,W1_OOS,0.0,1.5
stop-ext,,,S1,19,0.0,0.0,W1_OOS,0.0,2.0
stop-ext,,,S2,20,0.0,0.0,W1_OOS,0.0,2.0
stop-ext,,,S3,19,0.0,0.0,W1_OOS,0.0,2.0
stop-ext,,,S4,15,0.0,0.0,W1_OOS,0.0,2.0
stop-ext,,,S5,17,0.0,0.0,W1_OOS,0.0,2.0
stop-ext,,,S6,25,0.0,0.0,W1_OOS,0.0,2.0
stop-ext,,,S1,19,0.0,0.0,W1_OOS,0.0,3.0
stop-ext,,,S2,20,0.0,0.0,W1_OOS,0.0,3.0
stop-ext,,,S3,19,0.0,0.0,W1_OOS,0.0,3.0
stop-ext,,,S4,15,0.0,0.0,W1_OOS,0.0,3.0
stop-ext,,,S5,17,0.0,0.0,W1_OOS,0.0,3.0
stop-ext,,,S6,25,0.0,0.0,W1_OOS,0.0,3.0
stop-ext,,,S1,19,124.0,94.7,W1_OOS,50.0,1.5
stop-ext,,,S2,20,-95.0,80.0,W1_OOS,50.0,1.5
stop-ext,,,S3,19,124.0,94.7,W1_OOS,50.0,1.5
stop-ext,,,S4,15,77.0,93.3,W1_OOS,50.0,1.5
stop-ext,,,S5,17,94.0,94.1,W1_OOS,50.0,1.5
stop-ext,,,S6,25,-12.0,84.0,W1_OOS,50.0,1.5
stop-ext,,,S1,19,195.0,94.7,W1_OOS,50.0,2.0
stop-ext,,,S2,20,-8.0,80.0,W1_OOS,50.0,2.0
stop-ext,,,S3,19,195.0,94.7,W1_OOS,50.0,2.0
stop-ext,,,S4,15,132.0,93.3,W1_OOS,50.0,2.0
stop-ext,,,S5,17,154.0,94.1,W1_OOS,50.0,2.0
stop-ext,,,S6,25,105.0,84.0,W1_OOS,50.0,2.0
stop-ext,,,S1,19,-6.0,78.9,W1_OOS,50.0,3.0
stop-ext,,,S2,20,166.0,80.0,W1_OOS,50.0,3.0
stop-ext,,,S3,19,-6.0,78.9,W1_OOS,50.0,3.0
stop-ext,,,S4,15,-10.0,80.0,W1_OOS,50.0,3.0
stop-ext,,,S5,17,51.0,82.4,W1_OOS,50.0,3.0
stop-ext,,,S6,25,340.0,84.0,W1_OOS,50.0,3.0
stop-ext,,,S1,19,-6.0,78.9,W1_OOS,100.0,1.5
stop-ext,,,S2,18,344.0,88.9,W1_OOS,100.0,1.5
stop-ext,,,S3,19,-6.0,78.9,W1_OOS,100.0,1.5
stop-ext,,,S4,15,-10.0,80.0,W1_OOS,100.0,1.5
stop-ext,,,S5,17,51.0,82.4,W1_OOS,100.0,1.5
stop-ext,,,S6,23,529.0,91.3,W1_OOS,100.0,1.5
stop-ext,,,S1,19,110.0,78.9,W1_OOS,100.0,2.0
stop-ext,,,S2,18,386.0,83.3,W1_OOS,100.0,2.0
stop-ext,,,S3,19,110.0,78.9,W1_OOS,100.0,2.0
stop-ext,,,S4,15,82.0,80.0,W1_OOS,100.0,2.0
stop-ext,,,S5,17,156.0,82.4,W1_OOS,100.0,2.0
stop-ext,,,S6,23,626.0,87.0,W1_OOS,100.0,2.0
stop-ext,,,S1,19,209.0,73.7,W1_OOS,100.0,3.0
stop-ext,,,S2,18,389.0,72.2,W1_OOS,100.0,3.0
stop-ext,,,S3,19,209.0,73.7,W1_OOS,100.0,3.0
stop-ext,,,S4,15,130.0,73.3,W1_OOS,100.0,3.0
stop-ext,,,S5,17,366.0,82.4,W1_OOS,100.0,3.0
stop-ext,,,S6,23,604.0,73.9,W1_OOS,100.0,3.0
stop-ext,,,S1,19,64.0,68.4,W1_OOS,200.0,1.5
stop-ext,,,S2,18,-80.0,55.6,W1_OOS,200.0,1.5
stop-ext,,,S3,19,64.0,68.4,W1_OOS,200.0,1.5
stop-ext,,,S4,15,-142.0,60.0,W1_OOS,200.0,1.5
stop-ext,,,S5,17,94.0,70.6,W1_OOS,200.0,1.5
stop-ext,,,S6,23,114.0,60.9,W1_OOS,200.0,1.5
stop-ext,,,S1,19,-58.0,57.9,W1_OOS,200.0,2.0
stop-ext,,,S2,18,132.0,55.6,W1_OOS,200.0,2.0
stop-ext,,,S3,19,-58.0,57.9,W1_OOS,200.0,2.0
stop-ext,,,S4,15,-6.0,60.0,W1_OOS,200.0,2.0
stop-ext,,,S5,17,-32.0,58.8,W1_OOS,200.0,2.0
stop-ext,,,S6,23,424.0,60.9,W1_OOS,200.0,2.0
stop-ext,,,S1,19,-437.0,36.8,W1_OOS,200.0,3.0
stop-ext,,,S2,18,556.0,55.6,W1_OOS,200.0,3.0
stop-ext,,,S3,19,-437.0,36.8,W1_OOS,200.0,3.0
stop-ext,,,S4,15,-263.0,40.0,W1_OOS,200.0,3.0
stop-ext,,,S5,17,-430.0,35.3,W1_OOS,200.0,3.0
stop-ext,,,S6,23,124.0,43.5,W1_OOS,200.0,3.0
multi-tier,1.0,0.15,S1,68,2030.0,30.9,W2_IS,,
multi-tier,1.0,0.15,S2,64,2260.0,32.8,W2_IS,,
multi-tier,1.0,0.15,S3,64,2206.0,32.8,W2_IS,,
multi-tier,1.0,0.15,S4,56,1273.0,28.6,W2_IS,,
multi-tier,1.0,0.15,S5,58,2255.0,34.5,W2_IS,,
multi-tier,1.0,0.15,S6,78,2640.0,29.5,W2_IS,,
multi-tier,1.0,0.3,S1,68,2030.0,30.9,W2_IS,,
multi-tier,1.0,0.3,S2,64,2260.0,32.8,W2_IS,,
multi-tier,1.0,0.3,S3,64,2206.0,32.8,W2_IS,,
multi-tier,1.0,0.3,S4,56,1273.0,28.6,W2_IS,,
multi-tier,1.0,0.3,S5,58,2255.0,34.5,W2_IS,,
multi-tier,1.0,0.3,S6,78,2640.0,29.5,W2_IS,,
multi-tier,1.0,0.5,S1,68,2030.0,30.9,W2_IS,,
multi-tier,1.0,0.5,S2,64,2260.0,32.8,W2_IS,,
multi-tier,1.0,0.5,S3,64,2206.0,32.8,W2_IS,,
multi-tier,1.0,0.5,S4,56,1273.0,28.6,W2_IS,,
multi-tier,1.0,0.5,S5,58,2255.0,34.5,W2_IS,,
multi-tier,1.0,0.5,S6,78,2640.0,29.5,W2_IS,,
multi-tier,2.0,0.15,S1,136,1240.0,27.2,W2_IS,,
multi-tier,2.0,0.15,S2,128,1232.0,27.3,W2_IS,,
multi-tier,2.0,0.15,S3,128,1416.0,28.9,W2_IS,,
multi-tier,2.0,0.15,S4,112,949.0,26.8,W2_IS,,
multi-tier,2.0,0.15,S5,116,1436.0,29.3,W2_IS,,
multi-tier,2.0,0.15,S6,156,1502.0,25.0,W2_IS,,
multi-tier,2.0,0.3,S1,136,1050.0,26.5,W2_IS,,
multi-tier,2.0,0.3,S2,132,500.0,25.0,W2_IS,,
multi-tier,2.0,0.3,S3,128,1226.0,28.1,W2_IS,,
multi-tier,2.0,0.3,S4,112,749.0,25.9,W2_IS,,
multi-tier,2.0,0.3,S5,116,1202.0,27.6,W2_IS,,
multi-tier,2.0,0.3,S6,160,678.0,23.1,W2_IS,,
multi-tier,2.0,0.5,S1,140,627.0,25.0,W2_IS,,
multi-tier,2.0,0.5,S2,132,500.0,25.0,W2_IS,,
multi-tier,2.0,0.5,S3,132,803.0,26.5,W2_IS,,
multi-tier,2.0,0.5,S4,116,264.0,24.1,W2_IS,,
multi-tier,2.0,0.5,S5,120,771.0,25.8,W2_IS,,
multi-tier,2.0,0.5,S6,160,166.0,21.9,W2_IS,,
multi-tier,3.0,0.15,S1,204,851.0,25.5,W2_IS,,
multi-tier,3.0,0.15,S2,196,401.0,24.0,W2_IS,,
multi-tier,3.0,0.15,S3,192,1027.0,27.1,W2_IS,,
multi-tier,3.0,0.15,S4,168,708.0,25.6,W2_IS,,
multi-tier,3.0,0.15,S5,174,1006.0,26.4,W2_IS,,
multi-tier,3.0,0.15,S6,238,573.0,22.3,W2_IS,,
multi-tier,3.0,0.3,S1,208,86.0,22.1,W2_IS,,
multi-tier,3.0,0.3,S2,200,-95.0,22.5,W2_IS,,
multi-tier,3.0,0.3,S3,196,262.0,23.5,W2_IS,,
multi-tier,3.0,0.3,S4,172,259.0,23.8,W2_IS,,
multi-tier,3.0,0.3,S5,178,262.0,22.5,W2_IS,,
multi-tier,3.0,0.3,S6,242,-325.0,20.2,W2_IS,,
multi-tier,3.0,0.5,S1,216,-37.0,22.2,W2_IS,,
multi-tier,3.0,0.5,S2,204,27.0,23.0,W2_IS,,
multi-tier,3.0,0.5,S3,204,154.0,23.5,W2_IS,,
multi-tier,3.0,0.5,S4,180,-52.0,22.8,W2_IS,,
multi-tier,3.0,0.5,S5,186,123.0,22.6,W2_IS,,
multi-tier,3.0,0.5,S6,246,-493.0,19.9,W2_IS,,
stop-ext,,,S1,38,-154.0,0.0,W2_IS,0.0,1.5
stop-ext,,,S2,36,0.0,0.0,W2_IS,0.0,1.5
stop-ext,,,S3,36,-154.0,0.0,W2_IS,0.0,1.5
stop-ext,,,S4,32,-154.0,0.0,W2_IS,0.0,1.5
stop-ext,,,S5,33,-154.0,0.0,W2_IS,0.0,1.5
stop-ext,,,S6,43,0.0,0.0,W2_IS,0.0,1.5
stop-ext,,,S1,38,-154.0,0.0,W2_IS,0.0,2.0
stop-ext,,,S2,36,0.0,0.0,W2_IS,0.0,2.0
stop-ext,,,S3,36,-154.0,0.0,W2_IS,0.0,2.0
stop-ext,,,S4,32,-154.0,0.0,W2_IS,0.0,2.0
stop-ext,,,S5,33,-154.0,0.0,W2_IS,0.0,2.0
stop-ext,,,S6,43,0.0,0.0,W2_IS,0.0,2.0
stop-ext,,,S1,38,-154.0,0.0,W2_IS,0.0,3.0
stop-ext,,,S2,36,0.0,0.0,W2_IS,0.0,3.0
stop-ext,,,S3,36,-154.0,0.0,W2_IS,0.0,3.0
stop-ext,,,S4,32,-154.0,0.0,W2_IS,0.0,3.0
stop-ext,,,S5,33,-154.0,0.0,W2_IS,0.0,3.0
stop-ext,,,S6,43,0.0,0.0,W2_IS,0.0,3.0
stop-ext,,,S1,38,184.0,92.1,W2_IS,50.0,1.5
stop-ext,,,S2,36,-57.0,83.3,W2_IS,50.0,1.5
stop-ext,,,S3,36,162.0,91.7,W2_IS,50.0,1.5
stop-ext,,,S4,32,92.0,90.6,W2_IS,50.0,1.5
stop-ext,,,S5,33,120.0,90.9,W2_IS,50.0,1.5
stop-ext,,,S6,43,72.0,86.0,W2_IS,50.0,1.5
stop-ext,,,S1,38,332.0,92.1,W2_IS,50.0,2.0
stop-ext,,,S2,36,123.0,83.3,W2_IS,50.0,2.0
stop-ext,,,S3,36,302.0,91.7,W2_IS,50.0,2.0
stop-ext,,,S4,32,207.0,90.6,W2_IS,50.0,2.0
stop-ext,,,S5,33,244.0,90.9,W2_IS,50.0,2.0
stop-ext,,,S6,43,320.0,86.0,W2_IS,50.0,2.0
stop-ext,,,S1,38,108.0,81.6,W2_IS,50.0,3.0
stop-ext,,,S2,36,262.0,77.8,W2_IS,50.0,3.0
stop-ext,,,S3,36,64.0,80.6,W2_IS,50.0,3.0
stop-ext,,,S4,32,59.0,81.2,W2_IS,50.0,3.0
stop-ext,,,S5,33,100.0,81.8,W2_IS,50.0,3.0
stop-ext,,,S6,43,596.0,81.4,W2_IS,50.0,3.0
stop-ext,,,S1,36,151.0,83.3,W2_IS,100.0,1.5
stop-ext,,,S2,34,481.0,82.4,W2_IS,100.0,1.5
stop-ext,,,S3,34,106.0,82.4,W2_IS,100.0,1.5
stop-ext,,,S4,30,115.0,83.3,W2_IS,100.0,1.5
stop-ext,,,S5,31,255.0,87.1,W2_IS,100.0,1.5
stop-ext,,,S6,41,874.0,85.4,W2_IS,100.0,1.5
stop-ext,,,S1,36,161.0,77.8,W2_IS,100.0,2.0
stop-ext,,,S2,34,652.0,79.4,W2_IS,100.0,2.0
stop-ext,,,S3,34,101.0,76.5,W2_IS,100.0,2.0
stop-ext,,,S4,30,86.0,76.7,W2_IS,100.0,2.0
stop-ext,,,S5,31,235.0,80.6,W2_IS,100.0,2.0
stop-ext,,,S6,41,1160.0,82.9,W2_IS,100.0,2.0
stop-ext,,,S1,36,195.0,69.4,W2_IS,100.0,3.0
stop-ext,,,S2,34,616.0,67.6,W2_IS,100.0,3.0
stop-ext,,,S3,34,377.0,73.5,W2_IS,100.0,3.0
stop-ext,,,S4,30,295.0,73.3,W2_IS,100.0,3.0
stop-ext,,,S5,31,372.0,74.2,W2_IS,100.0,3.0
stop-ext,,,S6,41,1132.0,70.7,W2_IS,100.0,3.0
stop-ext,,,S1,35,-354.0,57.1,W2_IS,200.0,1.5
stop-ext,,,S2,34,0.0,58.8,W2_IS,200.0,1.5
stop-ext,,,S3,33,-173.0,60.6,W2_IS,200.0,1.5
stop-ext,,,S4,29,-529.0,51.7,W2_IS,200.0,1.5
stop-ext,,,S5,30,-330.0,56.7,W2_IS,200.0,1.5
stop-ext,,,S6,41,390.0,63.4,W2_IS,200.0,1.5
stop-ext,,,S1,35,-392.0,51.4,W2_IS,200.0,2.0
stop-ext,,,S2,34,-16.0,50.0,W2_IS,200.0,2.0
stop-ext,,,S3,33,-209.0,54.5,W2_IS,200.0,2.0
stop-ext,,,S4,29,-291.0,51.7,W2_IS,200.0,2.0
stop-ext,,,S5,30,-408.0,50.0,W2_IS,200.0,2.0
stop-ext,,,S6,41,192.0,51.2,W2_IS,200.0,2.0
stop-ext,,,S1,35,-640.0,40.0,W2_IS,200.0,3.0
stop-ext,,,S2,34,212.0,41.2,W2_IS,200.0,3.0
stop-ext,,,S3,33,-452.0,42.4,W2_IS,200.0,3.0
stop-ext,,,S4,29,-413.0,41.4,W2_IS,200.0,3.0
stop-ext,,,S5,30,-720.0,36.7,W2_IS,200.0,3.0
stop-ext,,,S6,41,-344.0,36.6,W2_IS,200.0,3.0
multi-tier,1.0,0.15,S1,12,809.0,58.3,W2_OOS,,
multi-tier,1.0,0.15,S2,24,306.0,25.0,W2_OOS,,
multi-tier,1.0,0.15,S3,12,809.0,58.3,W2_OOS,,
multi-tier,1.0,0.15,S4,12,924.0,58.3,W2_OOS,,
multi-tier,1.0,0.15,S5,10,759.0,60.0,W2_OOS,,
multi-tier,1.0,0.15,S6,26,226.0,23.1,W2_OOS,,
multi-tier,1.0,0.3,S1,12,809.0,58.3,W2_OOS,,
multi-tier,1.0,0.3,S2,24,306.0,25.0,W2_OOS,,
multi-tier,1.0,0.3,S3,12,809.0,58.3,W2_OOS,,
multi-tier,1.0,0.3,S4,12,924.0,58.3,W2_OOS,,
