fold,stream,fractal,parent_sls,parent_np,hedge_fired,hedge_np,hedge_wr
W4_OOS,S3,OFF,17,231.0,18,-347.0,16.7
W4_OOS,S4,OFF,11,323.0,14,-193.0,21.4
W4_OOS,S5,OFF,16,308.0,22,-501.0,13.6
W4_OOS,S6,OFF,20,370.0,28,-868.0,7.1
W4_OOS,S1,ON_w5,19,77.0,22,-616.0,9.1
W4_OOS,S2,ON_w5,12,643.0,20,-316.0,20.0
W4_OOS,S3,ON_w5,17,231.0,18,-462.0,11.1
W4_OOS,S4,ON_w5,11,323.0,14,-308.0,14.3
W4_OOS,S5,ON_w5,16,308.0,22,-616.0,9.1
W4_OOS,S6,ON_w5,20,370.0,28,-628.0,14.3
