fold,stream,alpha,f1,fired,np,wr
W2_IS,S3,0.7,1800,64,-163.0,23.4
W2_IS,S4,0.7,1800,56,205.0,25.0
W2_IS,S5,0.7,1800,58,-77.0,24.1
W2_IS,S6,0.7,1800,78,-778.0,20.5
W2_OOS,S1,0.5,600,8,462.0,50.0
W2_OOS,S2,0.5,600,12,348.0,33.3
W2_OOS,S3,0.5,600,8,462.0,50.0
W2_OOS,S4,0.5,600,8,539.0,50.0
W2_OOS,S5,0.5,600,8,451.0,50.0
W2_OOS,S6,0.5,600,12,348.0,33.3
W2_OOS,S1,0.5,1800,12,809.0,58.3
W2_OOS,S2,0.5,1800,24,306.0,25.0
W2_OOS,S3,0.5,1800,12,809.0,58.3
W2_OOS,S4,0.5,1800,12,924.0,58.3
W2_OOS,S5,0.5,1800,10,759.0,60.0
W2_OOS,S6,0.5,1800,26,226.0,23.1
W2_OOS,S1,0.6,600,8,462.0,50.0
W2_OOS,S2,0.6,600,12,348.0,33.3
W2_OOS,S3,0.6,600,8,462.0,50.0
W2_OOS,S4,0.6,600,8,539.0,50.0
W2_OOS,S5,0.6,600,8,451.0,50.0
W2_OOS,S6,0.6,600,12,348.0,33.3
W2_OOS,S1,0.6,1800,12,816.0,58.3
W2_OOS,S2,0.6,1800,24,306.0,25.0
W2_OOS,S3,0.6,1800,12,816.0,58.3
W2_OOS,S4,0.6,1800,12,932.0,58.3
W2_OOS,S5,0.6,1800,10,759.0,60.0
W2_OOS,S6,0.6,1800,26,354.0,26.9
W2_OOS,S1,0.7,600,8,-46.0,25.0
W2_OOS,S2,0.7,600,12,-230.0,16.7
W2_OOS,S3,0.7,600,8,-46.0,25.0
W2_OOS,S4,0.7,600,8,-46.0,25.0
W2_OOS,S5,0.7,600,8,-57.0,25.0
W2_OOS,S6,0.7,600,12,-230.0,16.7
W2_OOS,S1,0.7,1800,12,316.0,41.7
W2_OOS,S2,0.7,1800,24,-272.0,16.7
W2_OOS,S3,0.7,1800,12,316.0,41.7
W2_OOS,S4,0.7,1800,12,354.0,41.7
W2_OOS,S5,0.7,1800,10,251.0,40.0
W2_OOS,S6,0.7,1800,26,-216.0,19.2
W3_IS,S1,0.5,600,26,1688.0,46.2
W3_IS,S2,0.5,600,38,2014.0,42.1
W3_IS,S3,0.5,600,26,1688.0,46.2
W3_IS,S4,0.5,600,22,1150.0,36.4
W3_IS,S5,0.5,600,26,1595.0,46.2
W3_IS,S6,0.5,600,46,2712.0,43.5
W3_IS,S1,0.5,1800,42,2934.0,50.0
W3_IS,S2,0.5,1800,56,1694.0,32.1
W3_IS,S3,0.5,1800,42,2934.0,50.0
W3_IS,S4,0.5,1800,34,1911.0,41.2
W3_IS,S5,0.5,1800,36,2915.0,55.6
W3_IS,S6,0.5,1800,68,2188.0,32.4
W3_IS,S1,0.6,600,26,1953.0,53.8
W3_IS,S2,0.6,600,38,1344.0,36.8
W3_IS,S3,0.6,600,26,1953.0,53.8
W3_IS,S4,0.6,600,22,1414.0,45.5
W3_IS,S5,0.6,600,26,1841.0,53.8
W3_IS,S6,0.6,600,46,2012.0,39.1
W3_IS,S1,0.6,1800,42,2610.0,50.0
W3_IS,S2,0.6,1800,56,1024.0,28.6
W3_IS,S3,0.6,1800,42,2610.0,50.0
W3_IS,S4,0.6,1800,34,2195.0,47.1
W3_IS,S5,0.6,1800,36,2563.0,55.6
W3_IS,S6,0.6,1800,68,1654.0,30.9
W3_IS,S1,0.7,600,26,45.0,30.8
W3_IS,S2,0.7,600,38,-80.0,26.3
W3_IS,S3,0.7,600,26,45.0,30.8
W3_IS,S4,0.7,600,22,-75.0,27.3
W3_IS,S5,0.7,600,26,42.0,30.8
W3_IS,S6,0.7,600,46,-141.0,26.1
W3_IS,S1,0.7,1800,42,731.0,35.7
W3_IS,S2,0.7,1800,56,-400.0,21.4
W3_IS,S3,0.7,1800,42,731.0,35.7
W3_IS,S4,0.7,1800,34,725.0,35.3
W3_IS,S5,0.7,1800,36,781.0,38.9
W3_IS,S6,0.7,1800,68,-488.0,22.1
W3_OOS,S1,0.5,600,20,77.0,20.0
W3_OOS,S2,0.5,600,26,354.0,23.1
W3_OOS,S3,0.5,600,20,77.0,20.0
W3_OOS,S4,0.5,600,20,148.0,20.0
W3_OOS,S5,0.5,600,20,49.0,20.0
W3_OOS,S6,0.5,600,28,312.0,21.4
W3_OOS,S1,0.5,1800,30,-352.0,13.3
W3_OOS,S2,0.5,1800,42,396.0,23.8
W3_OOS,S3,0.5,1800,30,-352.0,13.3
W3_OOS,S4,0.5,1800,30,-253.0,13.3
W3_OOS,S5,0.5,1800,28,-281.0,14.3
W3_OOS,S6,0.5,1800,44,372.0,22.7
W3_OOS,S1,0.6,600,20,77.0,20.0
W3_OOS,S2,0.6,600,26,26.0,19.2
W3_OOS,S3,0.6,600,20,77.0,20.0
W3_OOS,S4,0.6,600,20,149.0,20.0
W3_OOS,S5,0.6,600,20,50.0,20.0
W3_OOS,S6,0.6,600,28,-31.0,17.9
W3_OOS,S1,0.6,1800,30,-352.0,13.3
W3_OOS,S2,0.6,1800,42,-242.0,19.0
W3_OOS,S3,0.6,1800,30,-352.0,13.3
W3_OOS,S4,0.6,1800,30,-253.0,13.3
W3_OOS,S5,0.6,1800,28,-280.0,14.3
W3_OOS,S6,0.6,1800,44,-297.0,18.2
W3_OOS,S1,0.7,600,20,77.0,20.0
W3_OOS,S2,0.7,600,26,320.0,26.9
W3_OOS,S3,0.7,600,20,77.0,20.0
W3_OOS,S4,0.7,600,20,149.0,20.0
W3_OOS,S5,0.7,600,20,50.0,20.0
W3_OOS,S6,0.7,600,28,277.0,25.0
W3_OOS,S1,0.7,1800,30,-352.0,13.3
W3_OOS,S2,0.7,1800,42,77.0,23.8
W3_OOS,S3,0.7,1800,30,-352.0,13.3
