config,np,np_hc,dd_abs,pf,pf_hc,ndd,ndd_hc,trades,wr,advances_to_wfo
baseline,20005.95000000018,18805.593000000168,4494.2999999999465,1.4238099777565971,1.1738099777565971,4.451405113143408,4.184320806354803,1353,43.82852919438285,False
V1_trail_w3,17727.520000000208,16663.868800000193,4254.37999999995,1.4089254643498863,1.1589254643498863,4.166886831923903,3.9168736220084686,1353,43.90243902439025,False
V1_trail_w5,19461.810000000198,18294.101400000185,4330.239999999923,1.426175656946931,1.176175656946931,4.494395229825724,4.22473151603618,1353,44.789356984478935,False
V2_confirm_w3,44757.15000000018,42071.72100000017,3709.0999999999985,2.0036248051933514,1.7536248051933514,12.0668491008601,11.342838154808495,1243,52.53419147224457,True
V2_confirm_w5,68022.85000000011,63941.4790000001,3990.2999999999884,2.592164733694571,2.342164733694571,17.04705160013039,16.02422850412257,1221,58.72235872235873,True
V3_range_w3,21650.25000000027,20351.23500000025,3567.7999999999956,1.488140465588191,1.238140465588191,6.068235327092409,5.704141207466864,1232,44.967532467532465,True
V3_range_w5,18064.150000000274,16980.301000000258,3356.399999999998,1.4234843867216878,1.1734843867216878,5.3820015492790745,5.05908145632233,1188,44.023569023569024,True
